Soort,Voorraad,Prijs,Niet inpakken
Entada rheedii,20, €  3.00 ,
Enterolobium cyclocarpum,20, €  4.00 ,
Erythrina arborescens,160, €  3.50 ,
Erythrina crista-galli,200, €  3.00 ,
Eucalyptus camphora,40p, €  3.50 ,
Eucalyptus coccifera,30p, €  3.50 ,
Eucalyptus deglupta,40p, €  4.00 ,
Eucalyptus delegatensis,20p, €  3.50 ,
Eucalyptus johnstonii,15p, €  3.50 ,
Eucalyptus morrisbyi,3p, €  4.50 ,
Eucalyptus neglecta,25p, €  3.50 ,
Eucalyptus pauciflora ssp. Niphophila,, €  4.00 ,
Eucalyptus pauciflora ssp. Pauciflora,3p, €  4.00 ,
Eucalyptus regnans,20p, €  4.00 ,
Eucalyptus rubida,8p, €  3.50 ,
Eucalyptus viminalis,5p, €  4.00 ,
Euphorbia caput-medusae,100, €  5.00 ,
Feijoa sellowiana,1480, €  3.00 ,
Ficus benghalensis,10p, €  4.00 ,
Ficus carica,16p, €  3.00 ,
Ficus religiosa,16p, €  3.00 ,
Fouquieria splendens,700, €  3.00 ,
Geum triflorum,1p, €  3.00 ,
Ginkgo biloba,, €  3.00 ,x
Gloriosa lutea,, €  3.50 ,
Glycyrrhiza glabra,1000, €  3.00 ,
Glycyrrhiza uralensis,1000, €  3.00 ,
Gossypium herbaceum,200, €  3.00 ,
Handroanthus impetiginosus,300, €  3.00 ,
Hura crepitans,, €  5.00 ,x
Hydnora africana,, €  5.00 ,
Hyophorbe verschaffeltii,80, €  3.00 ,
Isoplexis canariensis,200, €  3.00 ,
Jacaranda mimosifolia,500, €  3.00 ,
Kennedia nigricans,150, €  3.50 ,
Kigelia africana,120, €  3.00 ,
Latania loddigesii,50, €  5.00 ,
Leonotis leonurus,200, €  2.50 ,
Leonotis leonurus alba,100, €  3.50 ,
Lepidium meyenii,29p, €  3.00 ,
Leycesteria formosa,40p, €  3.50 ,
Licuala grandis,100, €  3.00 ,
Luffa cylindrica,1430, €  3.00 ,
