speciesID,nameDutch,nameLatin,nameEnglish,package,expirationTime,pricePerBag,seedsPerBag
,,Diospyros kaki,,,, €  3.00 ,
,,Diospyros lotus,,,, €  3.00 ,
,,Diospyros virginiana,,,, €  3.50 ,
,,Doryanthes excelsa,,,, €  3.00 ,
,,Doryanthes palmeri,,,, €  3.50 ,
,,Dracaena draco,,,, €  3.00 ,
,,Dracunculus vulgaris,,,, €  3.50 ,
,,Echium fastuosum,,,, €  3.00 ,
,,Echium wildpretii,,,, €  3.50 ,
,,Edithcolea grandis,,,, €  4.00 ,
,,Elaeocarpus angustifolius,,,, €  4.00 ,
,,Elaeocarpus ganitrus,,,, €  4.00 ,
,,Ensete glaucum,,,, €  3.00 ,
,,Ensete livingstonianum,,,, €  8.00 ,
,,Ensete perrieri,,,, €  3.50 ,
,,Ensete sp. Kluay Pa,,,, €  4.00 ,
,,Ensete ventricosum,,,, €  3.00 ,
,,Entada gigas,,,, €  4.00 ,
,,Entada rheedii,,,, €  3.00 ,
,,Enterolobium cyclocarpum,,,, €  4.00 ,
,,Erythrina arborescens,,,, €  3.50 ,
,,Erythrina crista-galli,,,, €  3.00 ,
,,Eucalyptus camphora,,,, €  3.50 ,
,,Eucalyptus coccifera,,,, €  3.50 ,
,,Eucalyptus deglupta,,,, €  4.00 ,
,,Eucalyptus delegatensis,,,, €  3.50 ,
,,Eucalyptus johnstonii,,,, €  3.50 ,
,,Eucalyptus morrisbyi,,,, €  4.50 ,
,,Eucalyptus neglecta,,,, €  3.50 ,
,,Eucalyptus pauciflora ssp. Niphophila,,,, €  4.00 ,
,,Eucalyptus pauciflora ssp. Pauciflora,,,, €  4.00 ,
,,Eucalyptus regnans,,,, €  4.00 ,
,,Eucalyptus rubida,,,, €  3.50 ,
,,Eucalyptus viminalis,,,, €  4.00 ,
,,Euphorbia caput-medusae,,,, €  5.00 ,
,,Feijoa sellowiana,,,, €  3.00 ,
,,Ficus benghalensis,,,, €  4.00 ,
,,Ficus carica,,,, €  3.00 ,
,,Ficus religiosa,,,, €  3.00 ,
,,Fouquieria splendens,,,, €  3.00 ,
,,Geum triflorum,,,, €  3.00 ,
,,Ginkgo biloba,,,, €  3.00 ,
,,Gloriosa lutea,,,, €  3.50 ,
,,Glycyrrhiza glabra,,,, €  3.00 ,
,,Glycyrrhiza uralensis,,,, €  3.00 ,
,,Gossypium herbaceum,,,, €  3.00 ,
,,Handroanthus impetiginosus,,,, €  3.00 ,
,,Hura crepitans,,,, €  5.00 ,
,,Hydnora africana,,,, €  5.00 ,
,,Hyophorbe verschaffeltii,,,, €  3.00 ,
,,Isoplexis canariensis,,,, €  3.00 ,
,,Jacaranda mimosifolia,,,, €  3.00 ,
,,Kennedia nigricans,,,, €  3.50 ,
,,Kigelia africana,,,, €  3.00 ,
,,Latania loddigesii,,,, €  5.00 ,
,,Leonotis leonurus,,,, €  2.50 ,
,,Leonotis leonurus alba,,,, €  3.50 ,
,,Lepidium meyenii,,,, €  3.00 ,
,,Leycesteria formosa,,,, €  3.50 ,
,,Licuala grandis,,,, €  3.00 ,
,,Luffa cylindrica,,,, €  3.00 ,
,,Lycium barbarum,,,, €  3.00 ,
,,Macadamia integrifolia,,,, €  4.00 ,
,,Magnolia acuminata,,,, €  3.00 ,
,,Magnolia champaca,,,, €  3.00 ,
,,Magnolia figo,,,, €  3.50 ,
,,Magnolia grandiflora,,,, €  3.00 ,
,,Magnolia liliiflora,,,, €  3.00 ,
,,Magnolia stellata,,,, €  3.00 ,
,,Majidea zanguebarica,,,, €  4.50 ,
,,Mandragora officinarum,,,, €  6.00 ,
,,Massonia depressa,,,, €  3.00 ,
,,Melaleuca alternifolia,,,, €  4.00 ,
,,Melianthus major,,,, €  4.00 ,
,,Metrosideros excelsa,,,, €  3.00 ,
,,Mimosa pudica,,,, €  3.00 ,
,,Momordica charantia,,,, €  3.00 ,
,,Monodora myristica,,,, €  8.00 ,
,,Morinda citrifolia,,,, €  3.00 ,
,,Moringa oleifera,,,, €  3.00 ,
,,Mucuna holtonii,,,, €  4.00 ,
,,Mucuna macrocarpa,,,, €  4.00 ,
,,Mucuna nigricans,,,, €  4.00 ,
